"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"","1845.0999999940395","survey-likert","95","272106","0.0-95.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","96","272106","0.0-96.0","","","","","","","","",""
"","null","html-keyboard-response","97","275110","0.0-97.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","98","278280","0.0-98.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592017.bmppp64_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","99","281285","0.0-99.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","100","284444","0.0-100.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592017.bmppp64_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","101","284444","0.0-101.0","","","","","","","","",""
"","4547.199999988079","survey-likert","102","288992","0.0-102.0","","","","","","","{""judgement"":1}","[0]","0"
"","1447.9000000059605","survey-likert","103","290446","0.0-103.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","104","290446","0.0-104.0","","","","","","","","",""
"","null","html-keyboard-response","105","293452","0.0-105.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","106","296765","0.0-106.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_713371.bmppp93_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","107","299768","0.0-107.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","108","303315","0.0-108.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_713371.bmppp93_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","109","303316","0.0-109.0","","","","","","","","",""
"","2163.100000023842","survey-likert","110","305489","0.0-110.0","","","","","","","{""judgement"":0}","[0]","0"
"","1289.0999999940395","survey-likert","111","306780","0.0-111.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","112","306782","0.0-112.0","","","","","","","","",""
"","null","html-keyboard-response","113","309787","0.0-113.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","114","312931","0.0-114.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592874.bmppp64_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","115","315934","0.0-115.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","116","319104","0.0-116.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592874.bmppp64_L1V1_freeview_veridical.mp4","","",""
"","","call-function","117","319105","0.0-117.0","","","","","","","","",""
"","4832.4000000059605","survey-likert","118","323938","0.0-118.0","","","","","","","{""judgement"":0}","[0]","1"
"","1735.9000000059605","survey-likert","119","325674","0.0-119.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","120","325675","0.0-120.0","","","","","","","","",""
"","null","html-keyboard-response","121","328679","0.0-121.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","122","331868","0.0-122.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592233.bmppp58_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","123","334870","0.0-123.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","124","338101","0.0-124.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592233.bmppp58_L1V1_freeview_veridical.mp4","","",""
"","","call-function","125","338102","0.0-125.0","","","","","","","","",""
"","2411.5999999940395","survey-likert","126","340514","0.0-126.0","","","","","","","{""judgement"":0}","[0]","1"
