"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"","null","video-keyboard-response","66","221176","0.0-66.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1160062.bmppp71_L1V1_freeview_veridical.mp4","","",""
"","","call-function","67","221177","0.0-67.0","","","","","","","","",""
"","2112.100000023842","survey-likert","68","223290","0.0-68.0","","","","","","","{""judgement"":1}","[0]","1"
"","2454.800000011921","survey-likert","69","225747","0.0-69.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","70","225748","0.0-70.0","","","","","","","","",""
"","null","html-keyboard-response","71","228749","0.0-71.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","72","231837","0.0-72.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1160140.bmppp76_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","73","234839","0.0-73.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","74","237916","0.0-74.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1160140.bmppp76_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","75","237916","0.0-75.0","","","","","","","","",""
"","3551.5","survey-likert","76","241468","0.0-76.0","","","","","","","{""judgement"":0}","[0]","0"
"","1908.9000000059605","survey-likert","77","243378","0.0-77.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","78","243379","0.0-78.0","","","","","","","","",""
"","null","html-keyboard-response","79","246385","0.0-79.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","80","249469","0.0-80.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592286.bmppp57_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","81","252475","0.0-81.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","82","255568","0.0-82.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592286.bmppp57_L1V1_freeview_veridical.mp4","","",""
"","","call-function","83","255569","0.0-83.0","","","","","","","","",""
"","2248","survey-likert","84","257817","0.0-84.0","","","","","","","{""judgement"":1}","[0]","1"
"","1736.199999988079","survey-likert","85","259555","0.0-85.0","","","","","","","{""confidence"":3}","[0]",""
"[{""page_index"":0,""viewing_time"":2398.699999988079},{""page_index"":1,""viewing_time"":1478.7000000178814},{""page_index"":2,""viewing_time"":2916.199999988079}]","6793.9000000059605","instructions","86","266350","0.0-86.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2480.2999999821186},{""page_index"":1,""viewing_time"":3067.2000000178814},{""page_index"":2,""viewing_time"":1690.699999988079}]","7238.5","instructions","87","273589","0.0-87.0","","","","","","","","",""
"","","call-function","88","273590","0.0-88.0","","","","","","","","",""
