"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"","null","video-keyboard-response","83","238355","0.0-83.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160093.bmppp152_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","84","241358","0.0-84.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","85","244420","0.0-85.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160093.bmppp152_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","86","244420","0.0-86.0","","","","","","","","",""
"","2979.39999999851","survey-likert","87","247400","0.0-87.0","","","","","","","{""judgement"":1}","[0]","1"
"","5128.29999999702","survey-likert","88","252530","0.0-88.0","","","","","","","{""confidence"":2}","[0]",""
"[{""page_index"":0,""viewing_time"":1268.6000000014901},{""page_index"":1,""viewing_time"":706.3000000044703},{""page_index"":2,""viewing_time"":324.29999999701977}]","2299.4000000059605","instructions","89","254830","0.0-89.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":185.5},{""page_index"":1,""viewing_time"":840.5},{""page_index"":2,""viewing_time"":485.79999999701977}]","1511.8999999985099","instructions","90","256343","0.0-90.0","","","","","","","","",""
"","","call-function","91","256344","0.0-91.0","","","","","","","","",""
"","null","html-keyboard-response","92","259348","0.0-92.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","93","262423","0.0-93.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159724.bmppp79_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","94","265428","0.0-94.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","95","268490","0.0-95.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159724.bmppp79_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","96","268491","0.0-96.0","","","","","","","","",""
"","3932.3000000044703","survey-likert","97","272424","0.0-97.0","","","","","","","{""judgement"":1}","[0]","1"
"","2336.7999999970198","survey-likert","98","274762","0.0-98.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","99","274763","0.0-99.0","","","","","","","","",""
"","null","html-keyboard-response","100","277767","0.0-100.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","101","280865","0.0-101.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713779.bmppp67_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","102","283866","0.0-102.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","103","286932","0.0-103.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713779.bmppp67_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","104","286932","0.0-104.0","","","","","","","","",""
"","1323.3999999985099","survey-likert","105","288256","0.0-105.0","","","","","","","{""judgement"":0}","[0]","0"
"","5881.39999999851","survey-likert","106","294139","0.0-106.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","107","294139","0.0-107.0","","","","","","","","",""
"","null","html-keyboard-response","108","297142","0.0-108.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","109","300195","0.0-109.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159874.bmppp152_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","110","303197","0.0-110.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","111","306279","0.0-111.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159874.bmppp152_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","112","306279","0.0-112.0","","","","","","","","",""
"","1586.7000000029802","survey-likert","113","307866","0.0-113.0","","","","","","","{""judgement"":0}","[0]","1"
"","1665.6000000014901","survey-likert","114","309533","0.0-114.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","115","309534","0.0-115.0","","","","","","","","",""
"","null","html-keyboard-response","116","312538","0.0-116.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","117","315592","0.0-117.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498281.bmppp90_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","118","318598","0.0-118.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","119","321656","0.0-119.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498281.bmppp90_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","120","321657","0.0-120.0","","","","","","","","",""
"","2408.60000000149","survey-likert","121","324067","0.0-121.0","","","","","","","{""judgement"":0}","[0]","1"
"","9032.39999999851","survey-likert","122","333101","0.0-122.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","123","333102","0.0-123.0","","","","","","","","",""
"","null","html-keyboard-response","124","336106","0.0-124.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","125","339187","0.0-125.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592083.bmppp99_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","126","342192","0.0-126.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","127","345236","0.0-127.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592083.bmppp99_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","128","345237","0.0-128.0","","","","","","","","",""
"","3229.7000000029802","survey-likert","129","348468","0.0-129.0","","","","","","","{""judgement"":1}","[0]","0"
"","1492","survey-likert","130","349961","0.0-130.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","131","349962","0.0-131.0","","","","","","","","",""
"","null","html-keyboard-response","132","352964","0.0-132.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","133","356034","0.0-133.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713003.bmppp82_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","134","359038","0.0-134.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","135","362100","0.0-135.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713003.bmppp82_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","136","362101","0.0-136.0","","","","","","","","",""
"","2711","survey-likert","137","364813","0.0-137.0","","","","","","","{""judgement"":1}","[0]","1"
"","1840.8000000044703","survey-likert","138","366656","0.0-138.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","139","366657","0.0-139.0","","","","","","","","",""
"","null","html-keyboard-response","140","369660","0.0-140.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","141","372735","0.0-141.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160155.bmppp67_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","142","375737","0.0-142.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","143","378897","0.0-143.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160155.bmppp67_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","144","378897","0.0-144.0","","","","","","","","",""
"","2664.5","survey-likert","145","381563","0.0-145.0","","","","","","","{""judgement"":1}","[0]","0"
"","6299.70000000298","survey-likert","146","387864","0.0-146.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","147","387865","0.0-147.0","","","","","","","","",""
"","null","html-keyboard-response","148","390869","0.0-148.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","149","393939","0.0-149.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592747.bmppp62_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","150","396944","0.0-150.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","151","400004","0.0-151.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592747.bmppp62_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","152","400005","0.0-152.0","","","","","","","","",""
"","3735.7999999970198","survey-likert","153","403742","0.0-153.0","","","","","","","{""judgement"":0}","[0]","0"
"","6295.0999999940395","survey-likert","154","410039","0.0-154.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","155","410039","0.0-155.0","","","","","","","","",""
"","null","html-keyboard-response","156","413045","0.0-156.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","157","416113","0.0-157.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498286.bmppp94_L1V1_freeview_veridical_mapOnly.mp4","","",""
