"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"","null","html-keyboard-response","82","274919","0.0-82.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","83","278075","0.0-83.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713135.bmppp99_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","84","281080","0.0-84.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","85","284290","0.0-85.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713135.bmppp99_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","86","284291","0.0-86.0","","","","","","","","",""
"","2501.800000011921","survey-likert","87","286793","0.0-87.0","","","","","","","{""judgement"":1}","[0]","1"
"","1397.300000011921","survey-likert","88","288191","0.0-88.0","","","","","","","{""confidence"":1}","[0]",""
"[{""page_index"":0,""viewing_time"":2494},{""page_index"":1,""viewing_time"":9621.09999999404},{""page_index"":2,""viewing_time"":1125.4000000059605}]","13240.799999982119","instructions","89","301433","0.0-89.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":961.9000000059605},{""page_index"":1,""viewing_time"":2364},{""page_index"":2,""viewing_time"":753.2000000178814}]","4079.4000000059605","instructions","90","305514","0.0-90.0","","","","","","","","",""
"","","call-function","91","305514","0.0-91.0","","","","","","","","",""
"","null","html-keyboard-response","92","308519","0.0-92.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","93","311781","0.0-93.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592193.bmppp70_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","94","314785","0.0-94.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","95","317967","0.0-95.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592193.bmppp70_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","96","317968","0.0-96.0","","","","","","","","",""
"","2038.300000011921","survey-likert","97","320008","0.0-97.0","","","","","","","{""judgement"":0}","[0]","1"
"","1425.5999999940395","survey-likert","98","321436","0.0-98.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","99","321436","0.0-99.0","","","","","","","","",""
"","null","html-keyboard-response","100","324439","0.0-100.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","101","327614","0.0-101.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713328.bmppp62_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","102","330619","0.0-102.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","103","333742","0.0-103.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713328.bmppp62_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","104","333742","0.0-104.0","","","","","","","","",""
"","2971.0999999940395","survey-likert","105","336714","0.0-105.0","","","","","","","{""judgement"":0}","[0]","1"
"","1728.9000000059605","survey-likert","106","338444","0.0-106.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","107","338446","0.0-107.0","","","","","","","","",""
