,rt,responses,question_order,trial_type,trial_index,time_elapsed,internal_node_id,ID,view_history,key_press,stimulus,agent,condition,image,correct_answer,proportion_correct
335,2439.9550000000700,"{""judgement"":1}",[0],survey-likert,335,989287,0.0-335.0,g7w9ueww,,,,,,,1.0,1
336,2387.2700000000200,"{""confidence"":2}",[0],survey-likert,336,991675,0.0-336.0,g7w9ueww,,,,,,,,
337,6009.224999999980,,,instructions,337,997685,0.0-337.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":4866.199999999953},{""page_index"":1,""viewing_time"":669.7950000000419},{""page_index"":2,""viewing_time"":473.0649999999441}]",,,,,,,
338,1670.6899999999400,,,instructions,338,999356,0.0-338.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":400.66500000003725},{""page_index"":1,""viewing_time"":696.7849999999162},{""page_index"":2,""viewing_time"":573.0400000000373}]",,,,,,,
339,,,,call-function,339,999357,0.0-339.0,g7w9ueww,,,,,,,,
340,Nothing,,,html-keyboard-response,340,1000860,0.0-340.0,g7w9ueww,,Nothing,['Agent A'],,,,,
341,Nothing,,,video-keyboard-response,341,1003961,0.0-341.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/1592298.bmp_pp56_L3_V1.0_veridical_freeview_isoTrue.mp4,,
342,Nothing,,,html-keyboard-response,342,1005464,0.0-342.0,g7w9ueww,,Nothing,['Agent B'],,,,,
343,Nothing,,,video-keyboard-response,343,1008525,0.0-343.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/1592298.bmp_pp56_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
344,,,,call-function,344,1008525,0.0-344.0,g7w9ueww,,,,,,,,
345,2952.515000000010,"{""judgement"":0}",[0],survey-likert,345,1011479,0.0-345.0,g7w9ueww,,,,,,,0.0,1
346,1739.5649999999400,"{""confidence"":0}",[0],survey-likert,346,1013219,0.0-346.0,g7w9ueww,,,,,,,,
347,,,,call-function,347,1013220,0.0-347.0,g7w9ueww,,,,,,,,
348,Nothing,,,html-keyboard-response,348,1014726,0.0-348.0,g7w9ueww,,Nothing,['Agent A'],,,,,
349,Nothing,,,video-keyboard-response,349,1017796,0.0-349.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/1159325.bmp_pp67_L2_V1.0_veridical_freeview_isoTrue.mp4,,
350,Nothing,,,html-keyboard-response,350,1019299,0.0-350.0,g7w9ueww,,Nothing,['Agent B'],,,,,
351,Nothing,,,video-keyboard-response,351,1022358,0.0-351.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/1159325.bmp_pp67_L2_V1.0_scrambled_freeview_isoTrue.mp4,,
352,,,,call-function,352,1022358,0.0-352.0,g7w9ueww,,,,,,,,
353,2000.3649999999900,"{""judgement"":0}",[0],survey-likert,353,1024359,0.0-353.0,g7w9ueww,,,,,,,0.0,1
354,2031.109999999990,"{""confidence"":2}",[0],survey-likert,354,1026391,0.0-354.0,g7w9ueww,,,,,,,,
355,,,,call-function,355,1026392,0.0-355.0,g7w9ueww,,,,,,,,
356,Nothing,,,html-keyboard-response,356,1027899,0.0-356.0,g7w9ueww,,Nothing,['Agent A'],,,,,
357,Nothing,,,video-keyboard-response,357,1030976,0.0-357.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/1159508.bmp_pp151_L1_V1.0_veridical_freeview_isoTrue.mp4,,
358,Nothing,,,html-keyboard-response,358,1032482,0.0-358.0,g7w9ueww,,Nothing,['Agent B'],,,,,
359,Nothing,,,video-keyboard-response,359,1035556,0.0-359.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/1159508.bmp_pp151_L1_V1.0_scrambled_freeview_isoTrue.mp4,,
360,,,,call-function,360,1035557,0.0-360.0,g7w9ueww,,,,,,,,
361,1529.0400000000400,"{""judgement"":0}",[0],survey-likert,361,1037087,0.0-361.0,g7w9ueww,,,,,,,0.0,1
362,1628.2150000000800,"{""confidence"":2}",[0],survey-likert,362,1038716,0.0-362.0,g7w9ueww,,,,,,,,
363,,,,call-function,363,1038716,0.0-363.0,g7w9ueww,,,,,,,,
364,Nothing,,,html-keyboard-response,364,1040219,0.0-364.0,g7w9ueww,,Nothing,['Agent A'],,,,,
365,Nothing,,,video-keyboard-response,365,1043287,0.0-365.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/286034.bmp_pp69_L3_V1.0_veridical_freeview_isoTrue.mp4,,
366,Nothing,,,html-keyboard-response,366,1044790,0.0-366.0,g7w9ueww,,Nothing,['Agent B'],,,,,
367,Nothing,,,video-keyboard-response,367,1047885,0.0-367.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/286034.bmp_pp69_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
368,,,,call-function,368,1047885,0.0-368.0,g7w9ueww,,,,,,,,
369,1726.0850000000800,"{""judgement"":1}",[0],survey-likert,369,1049612,0.0-369.0,g7w9ueww,,,,,,,0.0,0
370,1345.6700000001600,"{""confidence"":2}",[0],survey-likert,370,1050958,0.0-370.0,g7w9ueww,,,,,,,,
371,,,,call-function,371,1050959,0.0-371.0,g7w9ueww,,,,,,,,
372,Nothing,,,html-keyboard-response,372,1052461,0.0-372.0,g7w9ueww,,Nothing,['Agent A'],,,,,
373,Nothing,,,video-keyboard-response,373,1055561,0.0-373.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/1160049.bmp_pp53_L2_V1.0_scrambled_freeview_isoTrue.mp4,,
374,Nothing,,,html-keyboard-response,374,1057065,0.0-374.0,g7w9ueww,,Nothing,['Agent B'],,,,,
375,Nothing,,,video-keyboard-response,375,1060160,0.0-375.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/1160049.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue.mp4,,
376,,,,call-function,376,1060161,0.0-376.0,g7w9ueww,,,,,,,,
377,10595.845000000000,"{""judgement"":0}",[0],survey-likert,377,1070757,0.0-377.0,g7w9ueww,,,,,,,1.0,0
378,2143.3599999998700,"{""confidence"":1}",[0],survey-likert,378,1072902,0.0-378.0,g7w9ueww,,,,,,,,
379,,,,call-function,379,1072902,0.0-379.0,g7w9ueww,,,,,,,,
380,Nothing,,,html-keyboard-response,380,1074404,0.0-380.0,g7w9ueww,,Nothing,['Agent A'],,,,,
381,Nothing,,,video-keyboard-response,381,1077507,0.0-381.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/498261.bmp_pp84_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
382,Nothing,,,html-keyboard-response,382,1079013,0.0-382.0,g7w9ueww,,Nothing,['Agent B'],,,,,
383,Nothing,,,video-keyboard-response,383,1082079,0.0-383.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/498261.bmp_pp84_L3_V1.0_veridical_freeview_isoTrue.mp4,,
